確認事項,背景/前提,選択肢/提案,回答（ビジネス）
商品マスタの対応表は現行スプレッドシートの内容で確定してよいか,商品のサイズ・色・原価・メーカーの対応表が必要。参照: https://docs.google.com/spreadsheets/d/1ua5H2y84lBTbYAx7j1T_DWemStHfPAZt/edit,A) 現行のスプレッドシートをそのまま採用 B) 追加・修正が必要な項目がある場合は指摘いただく,
メーカーへの注文日のルールはどうなっているか,受注からメーカーへの発注タイミングを明確にする必要がある。自動発注資料生成後のフローに影響,"A) 受注翌日に自動で注文（推奨：運用負荷が低い） B) 受注当日中に注文 C) 特定の曜日にまとめて注文",
注文番号の命名規則はどうするか,発注書ファイル名や管理番号の一貫性が必要。例: Tシャツ-正面-発注リスト_20251201.xlsx,"A) {商品種別}-{位置}-発注リスト_{YYYYMMDD}.xlsx B) {メーカー名}_{商品種別}_{YYYYMMDD}.xlsx C) 連番ベース: PO-{YYYYMMDD}-{連番}",
製造番号の命名規則はどうするか,メーカーとの製造管理・追跡に必要,"A) MFG-{YYYYMMDD}-{連番} B) {商品種別コード}{YYYYMMDD}{連番} C) メーカー側の既存ルールに合わせる",
シール用テキスト情報の命名規則はどうするか,梱包時の識別シールに記載する情報の形式を統一する必要がある,"A) {注文番号}_{顧客名}_{商品名} B) {注文番号}のみ（シンプル） C) QRコード化して詳細はシステム参照",
サムネイル画像のサイズ・形式の仕様はどうするか,発注資料や管理画面で使用するサムネイル画像の統一仕様が必要,"A) 300x300px / PNG / 白背景（推奨） B) 500x500px / JPEG / 透過背景 C) 外部サイトから取得した画像をそのまま使用",
サムネイル画像はどのように作成・取得するか,画像の作成元・加工方法を明確にする必要がある,"A) 外部販売サイトから自動取得（推奨：手動作業不要） B) デザインデータから自動生成 C) 手動でアップロード",
配送ステータスは「配送準備中」「発送完了」の2つで十分か,現在のShipmentStatusはpending/ready/shippedの3段階。運用に合わせて簡略化するか確認,"A) 2ステータス（配送準備中→発送完了）で運用（推奨：シンプル） B) 3ステータス（配送準備中→準備完了→発送完了）を維持 C) 別のステータス構成を希望",
運送会社への引き渡し後のステータス更新は手動でよいか,配送準備中→発送完了への遷移タイミングと更新方法の確認,"A) 手動更新（推奨：現実的な運用） B) 運送会社APIと連携して自動更新 C) バーコードスキャンで更新",
発送後に顧客への配達完了を管理する必要があるか,「発送完了」が最終ステータスだが配達確認まで追跡するか,"A) 発送完了を最終ステータスとする（推奨：運用負荷が低い） B) 配達完了まで追跡する（運送会社APIとの連携が必要）",
配送予定完了日はどのタイミングで決定されるか,お客様への配送日案内や梱包スケジュールに影響,"A) 納入完了時に自動計算（納入日+N日） B) 手動で設定 C) 運送会社への引き渡し時に確定",
配送準備（梱包）はどのタイミングで行うか,製造完了→配送までのワークフローを明確にする必要がある,"A) 納入済みになったら即座に梱包開始 B) 同一顧客の複数注文をまとめてから梱包 C) 特定の時間帯にまとめて梱包作業",
