実装済み,機能名,カテゴリ,アクター,ユースケース
TRUE,管理者ログイン,認証,管理者,メール/パスワードで管理画面にログインし、システムにアクセスする
TRUE,受注一覧取得,受注管理,管理者,受注をページネーション・フィルタリング（ステータス、商品種別、日付、キーワード）で表示する
TRUE,受注詳細取得,受注管理,管理者,特定の受注の詳細情報（顧客情報、商品明細、ステータス履歴）を表示する
FALSE,受注ステータス更新,受注管理,管理者,受注のステータスを更新する
TRUE,商品一覧取得,商品管理,管理者,商品マスタをページネーションで表示する
TRUE,商品作成,商品管理,管理者,新しい商品マスタを作成する（サイズ、色、位置、製造コスト、納期を設定）
TRUE,商品詳細取得,商品管理,管理者,特定の商品マスタの詳細情報を表示する
TRUE,商品更新,商品管理,管理者,商品マスタを更新する（コスト、納期、有効状態など）
FALSE,商品削除,商品管理,管理者,不要になった商品マスタを削除する
TRUE,メーカー一覧取得,メーカー管理,管理者,メーカーをページネーションで表示する
FALSE,メーカー作成,メーカー管理,管理者,新しいメーカーを登録する（名前、連絡先、対応商品、納期、発注上限など）
TRUE,メーカー詳細取得,メーカー管理,管理者,特定のメーカーの詳細情報を表示する
TRUE,メーカー情報更新,メーカー管理,管理者,メーカー情報を更新する
FALSE,メーカー削除,メーカー管理,管理者,メーカーを削除する
TRUE,メーカー発注サマリー一覧取得,発注管理,管理者,発注中ステータスの受注明細を持つメーカーの一覧と発注数量・金額を集計して表示する
TRUE,メーカー別発注明細一覧取得,発注管理,管理者,特定のメーカーに紐づく発注中ステータスの受注明細を取得する
TRUE,メーカー別発注資料ZIP生成,発注管理,管理者,メーカー向けの発注資料ZIP（商品タイプ別CSV、デザイン画像、サムネイル画像）を生成・ダウンロードする
FALSE,メーカー発注ステータス一括更新,発注管理,管理者,メーカーに紐づく発注のステータスを一括更新する
TRUE,請求書PDF生成・発行,請求管理,管理者,特定のメーカーに対する選択発注明細の請求書PDFを生成・ダウンロードする
TRUE,配送一覧取得,配送管理,管理者,配送をページネーション・フィルタリング（ステータス、日付、追跡番号、配送業者）で表示する
TRUE,配送詳細取得,配送管理,管理者,特定の配送の詳細情報を表示する
FALSE,配送ステータス更新,配送管理,管理者,配送ステータスを更新する（納入完了→配送準備完了→ 発送完了）
FALSE,配送ステータス一括更新,配送管理,管理者,複数の配送ステータスを一括更新する
FALSE,梱包写真アップロード,配送管理,管理者,配送の梱包写真をアップロードする
TRUE,配送CSVエクスポート,配送管理,管理者,選択された配送データを配送業者向けCSVでエクスポートする
FALSE,追跡番号インポート,配送管理,管理者,CSVから追跡番号をインポートして配送に紐づける
TRUE,チャットメッセージ一覧取得,チャット,管理者,メーカーとのチャットメッセージを取得する
TRUE,チャットメッセージ送信,チャット,管理者,メーカーにチャットメッセージを送信する（添付ファイル対応）
TRUE,チャット一覧取得,チャット,管理者,全メーカー向けのチャット一覧を取得する
FALSE,添付ファイルダウンロード,チャット,管理者,チャット添付ファイルをダウンロードする
TRUE,受注元登録・管理,受注元管理,管理者,外部販売サイト（受注元）の登録・管理を行う（配送元情報、APIキー、コード）
TRUE,商品種別マスタ管理,商品管理,管理者,商品種別（Tシャツ、アクリルキーホルダー等）のマスタデータを管理する
